Strain Identifier	Strain name	Evolution Experiment?	Parental Strain	Alternative Strain Name	Full Strain Name After Genome Analysis	ENA Accession	Alternative Genome Source	Reference (PMID)	Isolation origin	Year	Phenotype	German BSL level	Notes
NT12235	ZG-14.1	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12236	ZG-14.2	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12237	ZG-14.7	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12238	ZG-15.1	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12239	ZG-15.3	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12240	ZG-15.4	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12241	ZG-15.8	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12242	ZG-16.1	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12243	ZG-16.2	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12244	ZG-16.8	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12245	ZG-16.9	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12246	ZG-17.1	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12247	ZG-17.2	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12248	ZG-17.6	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12249	ZG-18.1	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12250	ZG-18.7	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12251	ZG-20.1	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12252	ZG-20.10	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12253	ZG-20.7	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12254	ZG-21.1	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12255	ZG-21.4	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12256	ZG-21.8	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12257	ZG-22.1	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12258	ZG-22.11	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12259	ZG-22.9	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12260	ZG-23.1	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12261	ZG-24.1	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12262	ZG-24.5	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12263	ZG-25.1	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12264	ZG-25.3	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12265	ZG-25.4	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12266	ZG-25.7	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12267	ZG-26.1	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12268	ZG-27.1	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12269	ZG-28.1	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12270	ZG-28.13	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12271	ZG-28.5	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12272	ZG-29.1	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12273	ZG-29.4	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12274	ZG-30.1	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12275	ZG-31.1	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12276	ZG-31.2	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12277	ZG-32.1	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12278	ZG-33.1	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12279	ZG-33.2	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12280	ZG-33.4	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12281	ZG-33.6	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12282	ZG-33.8	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12283	ZG-34.1	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12284	ZG-35.1	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12285	ZG-36.1	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12286	ZG-36.8	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12287	ZG-37.1	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12288	ZG-37.3	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12289	ZG-38.1	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12290	ZG-38.2	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12291	ZG-38.9	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12292	ZG-39.1	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12293	ZG-40.1	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12294	ZG-40.8	0			Escherichia coli ZG-40			24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12295	ZG-41.1	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12296	ZG-41.8	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12297	ZG-41.9	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12298	ZG-42.1	0			Escherichia coli ZG-42			24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12299	ZG-43.1	0			Escherichia coli ZG-43			24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12300	ZG-43.2	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12301	ZG-43.4	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12302	ZG-44.1	0			Escherichia coli ZG-44			24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12303	ZG-44.2	0			Escherichia coli ZG-44			24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12304	ZG-45.1	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12305	ZG-46.1	0			Escherichia coli ZG-46			24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12306	ZG-46.5	0			Escherichia coli ZG-46			24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12307	ZG-47.1	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12308	ZG-47.3	0			Escherichia coli ZG-47			24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12309	ZG-48.1	0			Escherichia coli ZG-48			24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12310	ZG-48.4	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12311	ZG-49.1	0			Escherichia coli ZG-49			24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12312	ZG-49.2	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12313	ZG-49.6	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12314	ZG-50.1	0			Escherichia coli ZG-50			24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12315	ZG-51.1	0			Escherichia coli ZG-51			24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12316	ZG-52.1	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12317	ZG-53.1	0			Escherichia coli ZG-53			24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12318	ZG-54.1	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12319	ZG-54.2	0			Escherichia coli ZG-54			24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12320	ZG-55.1	0			Escherichia coli ZG-55			24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12321	ZG-55.2	0			Escherichia coli ZG-55			24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12322	ZG-55.3	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12323	ZG-56.1	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12324	ZG-56.2	0						24851235	Healthy human adults, Zielona Góra, Poland		Commensal strain	1	
NT12325	HM-343	0			Escherichia coli MS 110-3	PRJNA181410		20489017	Patient with ulcerative colitis, New York, USA		Pathogenic strain	2	
NT12326	HM-342	0			Escherichia coli MS 57-2	PRJNA181414		20489017	Healthy human, New York, USA		Commensal strain	2	
NT12327	HM-344	0			Escherichia coli MS 115-1	PRJNA50627		20489017	Patient with ulcerative colitis, New York, USA		Pathogenic strain	2	
NT12328	HM-345	0			Escherichia coli MS 16-3	PRJNA181412		20489017	Patient with Crohn's disease, New York, USA		Pathogenic strain	2	
NT12329	HM-346	0			Escherichia coli MS 21-1	PRJNA50631		20489017	Patient with Crohn's disease, New York, USA		Pathogenic strain	2	
NT12330	HM-347	0			Escherichia coli MS 69-1	PRJNA50653		20489017	Healthy human, New York, USA		Commensal strain	2	
NT12331	HM-356	0			Escherichia coli MS 200-1	PRJNA50645		20489017	Healthy human, New York, USA		Commensal strain	2	
NT12332	HM-365	0			Escherichia coli MS 196-1	PRJNA50655		20489017	Healthy human, New York, USA		Commensal strain	2	
NT12333	HM-366	0			Escherichia coli MS 198-1	PRJNA50625		20489017	Healthy human, New York, USA		Commensal strain	2	
NT12334	HM-337	0			Escherichia coli MS 85-1	PRJNA179594		20489017	Patient with Crohn's disease, New York, USA	2002	Pathogenic strain	2	
NT12335	HM-339	0			Escherichia coli MS 119-7	PRJNA50577		20489017	Patient with Crohn's disease, New York, USA	2002	Pathogenic strain	2	
NT12336	HM-340	0			Escherichia coli MS 124-1	PRJNA50763		20489017	Patient with Crohn's disease, New York, USA	2002	Pathogenic strain	2	
NT12337	HM-341	0			Escherichia coli MS 145-7	PRJNA59467		20489017	Patient with Crohn's disease, New York, USA	2002	Pathogenic strain	2	
NT12338	HM-50	0			Escherichia coli 83972	PRJNA55485		1098383	Asymptomatic human urine, Sweden	1975	Commensal strain	1	ABU (asymptomatic bacteriuria); colonization of urine in the absence of clinical symptoms
NT12339	NR-713	0							Human large intestine, USA	1999	Pathogenic strain	2	UPEC
NT12340	NR-2654	0		NR-2654, morphology 1	Escherichia coli CFT073	PRJNA57915		12471157	Patient with Pyelonephritis, University of Maryland Hospital, USA		Pathogenic strain	2	
NT12341	NR-15878	0			Escherichia coli TA206						Unknown	2	
NT12342	NR-2654	0		NR-2654, morphology 2	Escherichia coli CFT073	PRJNA57915		12471157	Patient with Pyelonephritis, University of Maryland Hospital, USA		Pathogenic strain	2	
NT12343	DH300	0			Escherichia coli DH300			12410838	Derived from DJ480		Laboratory strain	1	
NT12344	DE-COMM-2180	0						24188314	Fox		Commensal strain	1	
NT12345	DE-COMM-2493	0						24188314	Fox		Commensal strain	1	
NT12346	DE-COMM-2495	0			Escherichia coli DE-COMM-2495			24188314	Squirrel		Commensal strain	1	
NT12347	DE-COMM-2504	0			Escherichia coli DE-COMM-2504			24188314	Squirrel		Commensal strain	1	
NT12348	DE-COMM-2555	0						24188314	Marten		Commensal strain	1	
NT12349	DE-COMM-2560	0						24188314	Fox		Commensal strain	1	
NT12350	DE-COMM-2568	0						24188314	Marten		Commensal strain	1	
NT12351	DE-COMM-2570	0						24188314	Badger		Commensal strain	1	
NT12352	DE-COMM-2572	0						24188314	Fox		Commensal strain	1	
NT12353	DE-COMM-2574	0			Escherichia coli DE-COMM-2574			24188314	Squirrel		Commensal strain	1	
NT12354	DE-COMM-2580	0						24188314	Squirrel		Commensal strain	1	
NT12355	DE-COMM-2584	0			Escherichia coli DE-COMM-2584			24188314	Squirrel		Commensal strain	1	
NT12356	DE-COMM-2624	0						24188314	Badger		Commensal strain	1	
NT12357	DE-COMM-2651	0						24188314	Wild boar		Commensal strain	1	
NT12358	DE-COMM-2652	0			Escherichia coli DE-COMM-2652			24188314	Wild boar		Commensal strain	1	
NT12359	DE-COMM-2653	0			Escherichia coli DE-COMM-2653			24188314	Wild boar		Commensal strain	1	
NT12360	DE-COMM-2654	0						24188314	Wild boar		Commensal strain	1	
NT12361	DE-COMM-2655	0			Escherichia coli DE-COMM-2655			24188314	Wild boar		Commensal strain	1	
NT12362	DE-COMM-2703	0			Escherichia coli DE-COMM-2703			24188314	Roe deer		Commensal strain	1	
NT12363	DE-COMM-2704	0			Escherichia coli DE-COMM-2704			24188314	Roe deer		Commensal strain	1	
NT12364	DE-COMM-2705	0			Escherichia coli DE-COMM-2705			24188314	Roe deer		Commensal strain	1	
NT12365	DE-COMM-2710	0			Escherichia coli DE-COMM-2710			24188314	Roe deer		Commensal strain	1	
NT12366	DE-COMM-3233	0			Escherichia sp. DE-COMM-3233			24188314	Blackbird		Commensal strain	1	
NT12367	DE-COMM-3240	0			Escherichia coli DE-COMM-3240			24188314	Badger		Commensal strain	1	
NT12368	DE-COMM-3244	0						24188314	Blackbird		Commensal strain	1	
NT12369	DE-COMM-3248	0						24188314	Blackbird		Commensal strain	1	
NT12370	DE-COMM-3256	0			Escherichia coli DE-COMM-3256			24188314	Fox		Commensal strain	1	
NT12371	DE-COMM-3258	0						24188314	Marten		Commensal strain	1	
NT12372	DE-COMM-3263	0			Escherichia coli DE-COMM-3263			24188314	Blackbird		Commensal strain	1	
NT12373	DE-COMM-3445	0						24188314	Blackbird		Commensal strain	1	
NT12374	DE-COMM-3457	0			Escherichia sp. DE-COMM-3457			24188314	Marten		Commensal strain	1	
NT12375	DE-COMM-3473	0						24188314	Badger		Commensal strain	1	
NT12376	DE-COMM-3699	0						24188314	Raccoon		Commensal strain	1	
NT12377	DE-COMM-3700	0						24188314	Badger		Commensal strain	1	
NT12378	DE-COMM-3736	0						24188314	Hare		Commensal strain	1	
NT12379	DE-COMM-3739	0						24188314	Hare		Commensal strain	1	
NT12380	DE-COMM-3993	0						24188314	Rabbit		Commensal strain	1	
NT12381	DE-COMM-3995	0						24188314	Rabbit		Commensal strain	1	
NT12382	DE-COMM-3998	0			Escherichia coli DE-COMM-3998			24188314	Rabbit		Commensal strain	1	
NT12383	DE-COMM-3999	0			Citrobacter sp. DE-COMM-3999			24188314	Hedgehog		Commensal strain	1	
NT12384	DE-COMM-4000	0						24188314	Rabbit		Commensal strain	1	
NT12385	DE-COMM-4004	0						24188314	Common buzzard		Commensal strain	1	
NT12386	DE-COMM-4006	0						24188314	Common buzzard		Commensal strain	1	
NT12387	DE-COMM-4007	0						24188314	House mouse		Commensal strain	1	
NT12388	DE-COMM-4008	0			Escherichia coli DE-COMM-4008			24188314	House mouse		Commensal strain	1	
NT12389	DE-COMM-4009	0						24188314	House mouse		Commensal strain	1	
NT12390	DE-COMM-4010	0			Escherichia coli DE-COMM-4010			24188314	House mouse		Commensal strain	1	
NT12391	DE-COMM-4011	0						24188314	House mouse		Commensal strain	1	
NT12392	DE-COMM-4014	0			Escherichia coli DE-COMM-4014			24188314	Otter		Commensal strain	1	
NT12393	DE-COMM-4021	0						24188314	Roe deer		Commensal strain	1	
NT12394	DE-COMM-4056	0			Escherichia coli DE-COMM-4056			24188314	Common buzzard		Commensal strain	1	
NT12395	DE-COMM-4059	0						24188314	Common buzzard		Commensal strain	1	
NT12396	DE-COMM-4123	0			Escherichia coli DE-COMM-4123			24188314	Brown rat		Commensal strain	1	
NT12397	DE-COMM-4203	0						24188314	Common buzzard		Commensal strain	1	
NT12398	DE-COMM-4204	0						24188314	Hare		Commensal strain	1	
NT12399	DE-COMM-4291	0						24188314	Brown rat		Commensal strain	1	
NT12400	DE-COMM-4353	0			Escherichia coli DE-COMM-4353			24188314	Sparrowhawk		Commensal strain	1	
NT12401	DE-COMM-4367	0						24188314	Brown rat		Commensal strain	1	
NT12402	DE-COMM-4432	0						24188314	Sparrowhawk		Commensal strain	1	
NT12403	DE-COMM-4433	0			Escherichia sp. DE-COMM-4433			24188314	Sparrowhawk		Commensal strain	1	
NT12404	DE-COMM-4741	0			Escherichia coli DE-COMM-4741			24188314	Hare		Commensal strain	1	
NT12405	DE-COMM-4743	0						24188314	Raccoon		Commensal strain	1	
NT12406	DE-COMM-4774	0			Escherichia coli DE-COMM-4774			24188314	Raccoon		Commensal strain	1	
NT12407	DE-COMM-4794	0						24188314	Sparrowhawk		Commensal strain	1	
NT12408	DE-COMM-4951	0			Escherichia sp. DE-COMM-4951			24188314	Raccoon		Commensal strain	1	
NT12409	DE-COMM-4952	0						24188314	Raccoon		Commensal strain	1	
NT12410	DE-COMM-4960	0						24188314	Human		Commensal strain	1	
NT12411	DE-COMM-4961	0						24188314	Human		Commensal strain	1	
NT12412	DE-COMM-4962	0			Escherichia coli DE-COMM-4962			24188314	Human		Commensal strain	1	
NT12413	DE-COMM-4963	0			Escherichia coli DE-COMM-4963			24188314	Human		Commensal strain	1	
NT12414	DE-COMM-4965	0			Escherichia coli DE-COMM-4965			24188314	Human		Commensal strain	1	
NT12415	DE-COMM-4966	0						24188314	Human		Commensal strain	1	
NT12416	DE-COMM-4969	0						24188314	Human		Commensal strain	1	
NT12417	DE-COMM-4970	0						24188314	Human		Commensal strain	1	
NT12418	DE-COMM-4971	0			Escherichia coli DE-COMM-4971			24188314	Human		Commensal strain	1	
NT12419	DE-COMM-4972	0						24188314	Human		Commensal strain	1	
NT12420	DE-COMM-4973	0			Escherichia coli DE-COMM-4973			24188314	Human		Commensal strain	1	
NT12421	DE-COMM-4974	0			Escherichia coli DE-COMM-4974			24188314	Human		Commensal strain	1	
NT12422	DE-COMM-4975	0			Escherichia coli DE-COMM-4975			24188314	Human		Commensal strain	1	
NT12423	DE-COMM-4976	0			Escherichia coli DE-COMM-4976			24188314	Human		Commensal strain	1	
NT12424	DE-COMM-4977	0			Escherichia coli DE-COMM-4977			24188314	Human		Commensal strain	1	
NT12425	DE-COMM-4979	0			Escherichia coli DE-COMM-4979			24188314	Human		Commensal strain	1	
NT12426	DE-COMM-4980	0						24188314	Human		Commensal strain	1	
NT12427	DE-COMM-4981	0			Escherichia coli DE-COMM-4981			24188314	Human		Commensal strain	1	
NT12428	DE-COMM-4994	0						24188314	Owl		Commensal strain	1	
NT12429	DE-COMM-4995	0			Escherichia coli DE-COMM-4995			24188314	Owl		Commensal strain	1	
NT12430	DE-COMM-4999	0						24188314	Sparrowhawk		Commensal strain	1	
NT12431	DE-COMM-5006	0						24188314	Owl		Commensal strain	1	
NT12432	DE-COMM-5012	0			Escherichia coli DE-COMM-5012			24188314	Owl		Commensal strain	1	
NT12433	DE-COMM-5022	0						24188314	Badger		Commensal strain	1	
NT12434	DE-COMM-5028	0						24188314	Hare		Commensal strain	1	
NT12435	DE-COMM-5041	0			Escherichia coli DE-COMM-5041			24188314	Badger		Commensal strain	1	
NT12436	DE-COMM-5058	0						24188314	Otter		Commensal strain	1	
NT12437	DE-COMM-5060	0						24188314	Otter		Commensal strain	1	
NT12438	DE-COMM-5075	0			Escherichia sp. DE-COMM-5075			24188314	Owl		Commensal strain	1	
NT12439	DE-COMM-5076	0						24188314	Hedgehog		Commensal strain	1	
NT12440	DE-COMM-5079	0			Escherichia coli DE-COMM-5079			24188314	Otter		Commensal strain	1	
NT12441	DE-COMM-5082	0						24188314	Otter		Commensal strain	1	
NT12442	DE-COMM-5105	0			Escherichia coli DE-COMM-5105			24188314	Hedgehog		Commensal strain	1	
NT12443	DE-COMM-5115	0						24188314	Hedgehog		Commensal strain	1	
NT12444	B090	0		KC326	Escherichia albertii B090		Broad institute Antibiotic resistance collection		Australian magpie, O'Connor, ACT, Australia	2001	Commensal strain	1	
NT12445	B156	0		KC327	Escherichia albertii B156		Broad institute Antibiotic resistance collection		Australian magpie, O'Connor, ACT, Australia	2001	Commensal strain	1	
NT12446	B108	0		KC328			Broad institute Antibiotic resistance collection		Little friarbird, Wongarbon, NSW, Australia	2001	Commensal strain	1	
NT12447	B367	0		KC329	Escherichia coli B367		Broad institute Antibiotic resistance collection		Australian magpie, Coffs Harbour, NSW, Australia	2001	Commensal strain	1	
NT12448	B671	0		KC330	Escherichia coli B671		Broad institute Antibiotic resistance collection		Magpie-lark, Woopi, NSW, Australia	2001	Commensal strain	1	
NT12449	E1118	0		KC331	Escherichia sp. E1118		Broad institute Antibiotic resistance collection		Water sample, Lake Burley Griffin, ACT, Australia	2003	Commensal strain	1	
NT12450	E1520	0		KC332	Escherichia coli E1520	PRJNA38945	Broad institute Antibiotic resistance collection		Sediment sample, Perry Lakes, WA, Australia	2004	Commensal strain	1	
NT12451	H001	0		KC333	Escherichia coli H001		Broad institute Antibiotic resistance collection		Human, blood stream, Canberra, ACT, Australia	1999	Commensal strain	1	
NT12452	H296	0		KC334	Escherichia coli H296		Broad institute Antibiotic resistance collection		Human, feces, Canberra, ACT, Australia	2001	Commensal strain	1	
NT12453	H378	0		KC335	Escherichia coli H378		Broad institute Antibiotic resistance collection		Human, feces, Canberra, ACT, Australia	2001	Commensal strain	1	
NT12454	H397	0		KC336	Escherichia coli H397	PRJNA39001	Broad institute Antibiotic resistance collection		Human, feces, Canberra, ACT, Australia	2001	Commensal strain	1	
NT12455	H605	0		KC337	Escherichia sp. H605		Broad institute Antibiotic resistance collection		Human, feces, Canberra, ACT, Australia	2001	Commensal strain	1	
NT12456	TA004	0		KC338	Escherichia sp. TA004		Broad institute Antibiotic resistance collection		Western grey kangaroo, Kangaroo Island, SA, Australia	1993	Commensal strain	1	
NT12457	TA014	0		KC339	Escherichia coli TA014		Broad institute Antibiotic resistance collection		Long-nosed potoroo, Timbillica State Forest, NSW, Australia	1993	Commensal strain	1	
NT12458	TA103	0		KC340	Escherichia coli TA103		Broad institute Antibiotic resistance collection		Mitchell's hopping mouse, Wyperfeld National Park, VIC, Australia	1994	Commensal strain	1	
NT12459	TA141	0		KC341	Escherichia coli TA141		Broad institute Antibiotic resistance collection		Common rock rat, Kakadu National Park, NT, Australia	1994	Commensal strain	1	
NT12460	TA464	0		KC342	Escherichia coli TA464		Broad institute Antibiotic resistance collection		Common wallaroo, Barrow Island, WA, Australia	1996	Commensal strain	1	
NT12461	B253	0		KC343	Escherichia fergusonii B253	PRJNA38067	Broad institute Antibiotic resistance collection		Australian magpie, Sawtell, NSW, Australia	2001	Commensal strain	1	
NT12462	B646	0		KC344	Escherichia sp. B646		Broad institute Antibiotic resistance collection		Australian wood duck, Coffs Harbour, NSW, Australia	2001	Commensal strain	1	
NT12463	glyA-A	1	NT12001		Escherichia coli glyA-A		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12464	hisH-A	1	NT12001		Escherichia coli hisH-A		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12465	leuL-A	1	NT12001		Escherichia coli leuL-A		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12466	serB-A	1	NT12001		Escherichia coli serB-A		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12467	metR-A	1	NT12001		Escherichia coli metR-A		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12468	ppc-A	1	NT12001		Escherichia coli ppc-A		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12469	argC-A	1	NT12001		Escherichia coli argC-A		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12470	ptsI-A	1	NT12001		Escherichia coli ptsI-A		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12471	metL-A	1	NT12001		Escherichia coli metL-A		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12472	thrA-A	1	NT12001		Escherichia coli thrA-A		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12473	gltA-B	1	NT12001		Escherichia coli gltA-B		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12474	lpd-B	1	NT12001		Escherichia coli lpd-B		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12475	yhhK-B	1	NT12001		Escherichia coli yhhK-B		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12476	proB-B	1	NT12001		Escherichia coli proB-B		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12477	glyA-B	1	NT12001		Escherichia coli glyA-B		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12478	cysB-B	1	NT12001		Escherichia coli cysB-B		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12479	hisH-B	1	NT12001		Escherichia coli hisH-B		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12480	leuL-B	1	NT12001		Escherichia coli leuL-B		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12481	serB-B	1	NT12001		Escherichia coli serB-B		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12482	ppc-B	1	NT12001		Escherichia coli ppc-B		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12483	ptsI-B	1	NT12001		Escherichia coli ptsI-B		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
